　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-01-21,5753,16263,43409,48409,25107,15416,12277,4454,3348,13573,2562,3727,5554,8511,13520,17845,17201,5029,9469,3228,8459,8115,6032,39679,2294,12639,11528,17214,22729,16201,10563,28066,19187,35225,32751,9527,38068,28320,27461,22985,26725,158171,40362,24237,24133,26648,30539,26908,24459,12815,31494,7802,10051,17373,6310,3786,3479,11251,9224,10366,33138,8598,13350,7746,22197,26043,32323,40320,42553,27196,31942,75462,20973,35319,37392,24258,64388,20684,18052,14653,18865,13825,37923,19500,8165,14191,40777,25130,25411,26963,8526,11007,5504,5348,6522,10670,10275,14481,18655,31069,25908,14805,12531,12841,13325,12484,9995,10187
2019-01-22,5554,16239,43050,49572,25884,15345,12329,4528,3508,13504,2717,3725,7027,8641,12019,18045,17378,5126,9383,3247,8366,8224,5901,36288,2199,12600,11711,17121,23052,16581,10725,28769,19147,36030,36842,9407,37828,28401,27393,22668,27185,153876,42118,26097,24610,27273,32064,28239,25272,12982,31809,7885,10108,18613,7299,3835,3525,11168,9302,10658,34160,8682,13419,7616,22029,26122,32633,40362,43214,27369,31445,75043,21892,35130,38666,24958,64370,20624,17849,14711,17814,14535,35108,19762,8467,14280,41394,25551,25188,26703,8447,11081,5647,5274,6964,10270,10187,14224,18402,30707,26753,14819,12480,12675,13263,12545,9942,10179
2019-01-23,5915,16620,43334,52696,25511,15460,12498,4727,3549,13628,2783,3751,8022,8782,13522,18298,17530,5319,9670,3522,8405,8331,5959,37585,2199,12832,12004,17795,23895,16850,10796,29473,19868,36687,39218,9596,38427,28899,27636,23243,27133,157888,43788,26721,25011,27952,33069,28899,26581,13223,32888,8214,10505,18653,7532,4008,3764,12195,9641,11464,36940,8947,13858,8218,22683,26581,33370,41580,43608,27823,32646,77392,22261,35677,38434,25600,66032,20774,18252,15081,18430,15080,36159,19981,8904,14745,42060,25917,26104,27390,8535,11281,5460,5535,6804,10281,10325,15043,18490,31859,27252,15295,12785,13457,13399,12554,10260,10170
2019-01-24,5992,16859,43494,52129,27802,15697,12742,4643,3486,13576,2858,3916,8910,9170,13805,18424,17362,5848,9952,3756,8573,8332,5935,31816,2629,13528,12120,17852,23575,17153,10818,29806,20156,36646,41066,9825,38519,28838,27994,23318,27220,160139,43805,26809,25369,28838,34125,29239,26080,13630,33239,7971,10176,18683,7620,4065,3543,11503,9692,11468,38942,8839,13902,7895,23046,26181,34022,41337,43817,28092,33532,77428,23419,36350,39547,25802,68029,20998,18200,15172,18130,15239,37201,20239,9491,14602,42623,25207,25382,28246,8415,11545,5564,5505,6805,10373,10320,14958,18498,31262,27276,15379,13453,13136,13187,12378,10289,10094
2019-01-25,6969,17700,44571,57321,29165,15959,13292,4932,3766,14612,2944,3910,8991,9271,14809,18526,17654,6791,10475,3965,9222,9092,6312,38220,2942,13729,12597,19079,24900,17983,11192,30765,21486,37888,43590,10061,40614,30084,29372,24536,26708,181622,48290,26613,27602,34308,37476,31965,27912,14322,33437,8435,10756,21295,7546,4426,3655,12003,10324,11722,41036,9801,15145,8650,24841,27359,35867,46237,45906,29175,34753,84651,23656,39229,43029,28106,77931,22344,19832,16646,20209,15824,54974,21509,9999,16364,43453,24426,26683,28994,8991,12483,6099,5507,7333,11051,10954,17035,19337,32662,28662,16114,14073,14078,14066,13248,10840,11113
2019-01-26,4883,12155,27519,58298,21643,10969,9609,4306,3044,10328,2109,3164,7975,6829,13032,6521,8378,5706,9590,3360,6852,7523,2610,29645,2878,11786,10190,16157,18040,15918,9925,30568,20249,30360,45851,5715,36124,25210,24234,20185,13430,185245,48744,22648,22601,34414,38519,28488,22227,11085,26275,7256,7714,17199,8285,3411,1972,8448,8993,9870,36904,7379,12512,7069,20894,20157,33905,43511,38205,23908,33995,91291,18355,39476,39239,23052,73039,18632,16240,10103,15935,11251,64222,16201,11208,16385,24468,20832,18335,22419,7913,10546,5354,2895,6839,8698,10480,17037,15129,24367,25714,13261,12854,12486,11953,11842,8834,9677
2019-01-27,4479,10104,21222,47439,14527,8837,7815,3852,2333,7714,1831,2757,8356,6007,11086,5448,6809,3577,7538,3083,5225,6481,2365,21306,2123,11163,8783,13448,15241,14267,8743,28230,17331,23777,49433,4458,30760,21307,19970,18170,14383,179114,42676,17836,19046,33039,33456,26023,21712,8056,20614,6090,6598,15065,7780,2970,1724,7599,7694,9249,38038,6520,11597,6388,16805,16094,29133,38768,32114,20568,30315,83991,14268,33621,31666,19163,62479,14984,13918,8294,14359,10789,58572,12647,11588,15594,17506,17305,15265,19249,6450,8713,4442,2387,5729,7396,8810,16030,12928,20424,23764,10909,9906,10056,9818,10350,7871,8395
2019-01-28,5921,16287,42886,50660,24568,15163,12183,4512,3339,13425,2707,3797,7407,8684,12882,17670,17329,5495,9768,3672,8446,8531,5818,30392,2419,12584,11867,17407,22462,16325,10496,28522,19509,35311,33599,9443,38178,28198,27764,23220,27195,166742,43122,25714,24946,26911,32573,28688,25062,13520,31979,7781,10319,18459,6810,3905,2611,10410,9582,10703,38210,8936,14121,7895,22517,26401,33148,41391,43013,27377,32300,80557,21174,37390,39088,25279,68954,20108,17719,14843,17996,14647,53207,19869,9628,15424,41175,26330,25758,27187,8441,11016,5603,5237,6317,10175,10461,15242,19029,30560,25411,15125,12587,12571,13278,12391,10092,10164
2019-01-29,5819,16502,43080,53350,24748,15190,12637,4555,3387,13515,2813,3827,9327,8892,13388,18073,17394,5326,9763,3640,8395,8942,5821,33932,2304,12567,11896,17442,22485,16535,11125,29020,19420,35517,35147,9551,38055,28566,27688,22950,27106,157040,43876,25039,25179,27606,32830,29704,25435,13179,31933,7836,10306,18268,6695,3803,3444,11438,9377,10638,37374,9092,13769,7716,22724,26650,33770,41477,43597,27588,32479,77915,22135,35812,40511,25666,66855,20834,18015,14829,17623,15149,34764,19862,9806,15301,41494,23377,25350,26943,7986,10746,5512,5190,6545,10519,10171,14420,18032,31035,26880,14925,12661,12713,13367,12319,10077,9973
2019-01-30,5853,16908,43936,55560,24315,15655,12702,4725,3418,13642,2801,3763,9149,9048,13421,19717,17489,5369,10144,3704,8768,8990,5716,36324,2343,12853,11984,18185,22798,16532,10797,28650,20160,36186,34604,9411,38861,29297,28082,23074,27022,157937,44407,25405,24684,28283,32969,30484,26217,13219,32746,8077,10283,18430,6539,4032,3667,11735,9894,11257,38333,9453,14199,7991,22844,26720,34140,41950,44312,28190,32597,78555,21823,37093,40318,25841,68597,21207,18386,15300,18072,14927,34637,20124,9894,15247,41324,24275,25753,27522,8185,11104,5637,5295,6534,10237,10526,14927,18216,31281,26714,15098,12883,12915,13473,12529,10204,10265
2019-01-31,5769,16593,43629,56879,24477,15144,12810,4717,3413,13212,2829,3624,8400,8723,13984,17863,16968,5368,9962,3582,8493,8683,5921,32816,2270,12441,11999,17624,22882,17300,11137,28298,19783,35882,35270,9152,38573,28879,27735,23377,26354,155722,45367,24959,24701,27815,32039,28447,25853,13189,31758,7981,10375,18634,6708,3905,3572,11432,9813,11315,37311,9562,14459,7892,22827,26385,34118,42429,44181,28056,34269,76930,21979,37207,41131,26402,70024,21362,18159,15605,17916,14609,34644,19975,9674,15589,41269,23078,26127,26752,8047,10834,5697,5150,6747,10141,10468,14795,18163,30860,26257,15023,12741,12784,13019,12421,9935,10058
