　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-01-21,5726,16170,45994,48207,25098,14598,12221,4110,3180,14544,2120,3991,5430,8660,13533,18479,17324,4951,9310,3024,8229,8289,5640,37696,2396,10654,12296,17090,22112,16499,10029,27942,19155,35387,32979,9858,39465,28361,26767,22009,28383,155736,41842,26219,23651,26430,29001,27705,24286,12588,33098,7093,8526,18583,6112,3809,3445,11657,9730,11025,30986,8311,13351,7473,22324,23607,28831,43930,41002,27502,30714,76103,21850,34880,38537,26241,65894,20856,18005,15507,18252,12775,38390,20491,7715,14404,43169,26626,26903,25557,9163,11457,4900,5250,6460,10145,10294,12839,18906,32296,26386,13526,12613,13125,12535,12513,9140,9125
2019-01-22,5454,15758,45743,49503,26303,14771,12477,4099,3192,14081,2179,3987,7070,8768,12177,18577,17260,5084,9222,3112,8088,8628,5550,34315,2434,10602,12322,17100,22297,16874,10262,27792,19427,35866,36821,9734,39156,28412,26831,21743,28519,152449,43375,27782,24104,27883,30505,29203,24978,12652,32965,7376,8686,19552,7146,3747,3692,11330,9771,11390,32027,8291,13620,7489,22191,23754,29696,43672,41281,27925,30670,75574,22818,34289,40122,26885,66166,20839,17369,15297,17624,13324,35442,20996,8103,14412,43318,26214,26440,25551,9301,11767,5072,5150,6922,10034,10152,12526,18628,31957,27373,13538,12583,13066,12603,12366,9188,9146
2019-01-23,5623,16258,46302,53318,26059,15003,12484,4290,3353,14158,2276,3999,7957,8984,13235,18983,17636,5153,9460,3404,8234,8460,5501,35686,2404,11012,12582,17603,23006,16993,10238,28561,19690,36437,39222,10085,39796,29121,26977,22287,28778,154914,44843,28648,24417,28425,31641,29971,26361,12823,34166,7464,8967,20052,7137,3955,3725,12322,10240,12633,34098,8602,14281,7883,22724,24189,30313,45242,41494,28539,31467,77432,23516,35062,40003,27679,68426,20840,18116,15679,18259,14082,37081,21202,8554,15032,44031,26718,27498,26207,9236,11911,4893,5461,6714,10082,10489,13324,18774,32664,27643,13836,12934,13747,12766,12553,9390,9298
2019-01-24,5476,16678,46849,52379,28276,15044,12453,4296,3191,14266,2267,4144,8859,9101,13169,18768,17658,5708,9519,3550,8404,8687,5572,29983,2659,11545,12617,17906,22874,14935,10350,28762,20003,36510,41163,10293,39925,28893,27046,22535,29069,157671,45066,28794,24794,29041,32843,30186,25611,13148,34379,7458,9028,19891,7432,3970,3794,11834,10188,12761,35742,8659,14209,7772,23081,23901,30880,44744,41909,28821,32103,78133,24653,35527,40759,27785,69941,21232,17736,16173,18355,14410,38297,21426,9239,14995,44777,26508,27133,26922,9102,12126,5114,5438,6695,10047,10355,13503,18722,32731,27947,13775,13699,13427,12579,12383,9390,9355
2019-01-25,6326,17224,48823,58822,30367,15479,13295,4400,3348,14501,2323,4142,8918,8826,14713,19482,17846,6468,10162,3784,8698,9115,5840,33851,2761,11616,12898,18706,23794,18018,10706,29757,20881,37769,43669,10178,40991,29941,28131,23321,28711,183360,50355,28780,27079,35367,36236,32340,27556,13503,34453,7796,9270,20789,7180,4329,3809,12298,10435,12670,37834,9448,15975,8415,24612,24593,33060,49197,43452,29385,32964,86990,25030,38422,45391,30985,79444,22752,19404,16505,21494,14594,57054,23362,9604,16328,46483,26180,28417,27827,9490,13017,5500,5532,7243,10675,11033,14340,19755,34501,29446,14390,13838,14052,13051,12962,9942,9805
2019-01-26,4563,11942,29268,59849,22282,10388,9373,4133,2747,10321,1712,3155,8327,6925,13789,6489,8139,5345,9300,3435,6244,7529,2602,27732,2590,10862,10490,15063,17437,15893,9530,29549,20098,30072,46294,5861,35542,25223,22882,19842,13913,184852,51415,24411,21082,33881,37022,29096,22041,10352,26802,6682,6715,17620,8704,3366,2083,8641,9109,10792,34420,7253,13040,6945,20476,18202,31408,44889,35899,23981,32543,94823,19032,39651,41250,26009,70712,18314,16450,10320,17269,10372,68843,17245,11120,17574,25419,22802,19426,21801,7904,11131,5132,2977,6571,8622,10768,14494,15382,25052,26363,11858,12517,12781,11413,11930,8648,8836
2019-01-27,4311,9868,21474,47648,15161,8571,7604,3792,2267,8504,1586,2825,8707,6434,11379,5684,6731,3591,7435,3233,5266,6870,2345,20119,2207,10161,9562,12806,15131,14454,8424,27696,17339,23322,51176,4820,31484,21686,19328,17857,14827,177076,43918,18230,18002,32213,32118,26467,22488,7963,22115,5883,5635,16039,7758,2921,1717,8041,8039,10348,34970,6548,11384,6080,16761,14696,26690,39485,30702,20734,29126,85190,14597,33688,32488,21809,58827,14990,13983,8846,14242,10338,62196,13324,11671,16726,18345,18462,15997,18593,7087,9184,4245,2359,5793,7245,8960,13657,12755,20872,24204,10545,9720,10349,9298,10236,7605,7837
2019-01-28,5769,15828,45221,51393,25432,14627,12162,4202,3087,14022,2210,3991,7289,8757,12788,18154,17362,5486,9596,3388,8119,8846,5544,28306,2503,10638,12359,17253,21981,16516,10003,27985,19448,35469,33730,9823,39074,28543,26751,22244,28860,167799,44098,27463,24128,26897,31736,29555,25199,13308,33139,7178,9041,19168,6502,3929,2658,10747,9948,11599,35602,8484,14166,7674,22589,24102,30263,44445,41378,28063,31145,80019,22408,36688,40113,27104,69952,20335,17717,15616,17825,14136,53245,20661,9422,15846,43121,27130,26876,25959,9128,11631,5031,5135,6274,9871,10601,13309,18620,31687,26192,13576,12801,12997,12450,12463,9210,9309
2019-01-29,5715,16001,45766,53993,25894,14558,12450,4132,3110,14080,2265,4021,9413,8949,13701,18567,17224,5310,9486,3539,8117,9082,5594,31136,2428,10696,12467,17093,21992,16682,10438,28182,19495,35274,35118,9869,39080,28826,26855,21991,28685,157080,45106,26876,24501,27933,31854,30398,25301,12934,33060,7348,8996,18996,6463,3735,3581,11590,10059,11551,34442,8761,14083,7364,22742,24059,30948,44610,41867,27951,30956,77744,23059,35452,41318,28041,68510,20643,17763,15403,17933,14395,35011,20797,9605,15701,43593,24578,26878,25904,8831,11475,4967,5109,6322,10173,10402,12774,18300,32264,27575,13394,12681,12844,12423,12223,9258,9102
2019-01-30,5715,16461,46876,56562,25244,15119,12656,4129,3085,13997,2323,3932,9167,8935,13539,19760,17541,5179,9778,3417,8362,9183,5493,33198,2407,10972,12467,17508,22166,16878,10178,27549,19894,35888,34547,9666,39557,29192,26970,22249,28378,161154,45858,27457,24232,28638,31316,30783,25963,12783,33707,7493,8937,19470,6259,3918,3818,11904,10294,11995,35676,8950,14474,7728,22715,23840,31438,45638,42323,28477,31378,78192,23220,36475,41863,28337,70926,20885,18109,15857,18497,14022,35289,21379,9748,15893,43839,25247,27149,26237,8701,11738,5090,5236,6636,10017,10446,13255,18435,32303,27481,13334,12817,12904,12574,12246,9348,9410
2019-01-31,5761,16301,46999,57945,25656,14527,12453,4256,3057,13530,2179,3773,8308,8765,14032,18546,17038,5077,9399,3455,8047,8642,5558,29676,2437,10680,12350,17308,21991,17047,10305,26596,19338,35443,35479,9266,38710,28583,26582,22266,27842,165969,46795,26522,24210,27839,30492,29061,25756,12689,32551,7272,9013,19460,6128,3750,3667,11418,10049,12045,33577,9153,14685,7654,22530,23476,31038,46477,42134,28222,32826,76471,22477,36184,42690,28579,71641,21284,17679,16372,18749,13661,35083,21014,9397,16042,43585,24527,27406,25948,8510,11489,5224,5191,6614,9681,10487,13374,18186,32252,26919,13151,12681,12872,12204,12181,9047,8948
