　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-11-21,4961,14410,46304,40830,26912,14946,11268,4089,3366,13416,2225,4708,7176,9903,11147,17138,19471,6045,10036,3509,9033,9177,6774,27847,3273,11430,13120,16245,20681,17226,10034,27123,16262,32775,29481,12264,35261,26722,22005,19980,26309,129167,43725,22709,24231,26915,29740,29399,23660,13400,31657,7374,8329,20298,6201,3974,3574,14493,9973,13925,32501,9550,13926,8693,23850,25273,27445,42600,39260,28465,27389,60549,25818,32922,33248,21167,62332,21067,16496,14363,21873,13661,30715,19652,8245,15757,40993,26546,25772,26302,14567,11717,4885,5281,8190,11018,10332,12670,17899,29924,25780,14431,12860,13073,12817,12305,11792,9578,,,,,,,,,,,
2023-11-22,4912,14655,46171,41141,27089,14727,11423,4044,3467,13518,2209,4750,7097,9861,11566,17245,19517,6017,10072,3529,9220,9167,6966,28299,3308,11505,13075,16615,21061,17382,10066,27170,16415,33185,29380,12146,35681,26610,22046,20385,25601,131434,45370,23401,24150,26910,30247,29595,23686,13421,32350,7549,8361,20710,6091,4083,3517,14792,10034,14278,32796,9673,13940,8713,23936,25260,27474,43248,39470,28651,27833,62362,26625,34375,33614,21140,63180,21310,16340,14653,21927,13815,30739,20543,8443,15630,41075,23337,26244,26422,14749,11639,4873,5328,8214,10953,10586,12809,18000,30090,25850,14362,12791,13222,12823,12490,11936,9512,,,,,,,,,,,
2023-11-23,5118,14430,47210,41909,27396,14891,11407,4083,3392,13434,2220,4801,7171,9923,11877,17168,19308,6114,10029,3624,9133,8949,6800,28398,3552,11411,13178,16629,20979,17015,10074,27179,16661,33147,29602,12150,36022,26409,21939,20131,25255,138474,47250,23486,24924,28523,31117,30566,24014,13352,31968,7400,8456,20352,6351,3950,3395,14410,10123,14266,33191,9698,13922,8556,23941,25125,27609,44063,39654,28697,27861,63141,26576,34848,34223,22075,64837,21210,16322,15055,22517,13948,32042,20632,8595,15729,41997,23134,26379,26890,14404,11699,5005,5242,8217,10769,10401,12927,18303,30218,26966,14272,13010,13360,12865,12369,11866,9550,,,,,,,,,,,
2023-11-24,5484,14997,49317,49015,28246,14945,11856,4188,3415,13832,2115,4906,7065,9853,13196,16814,19166,6261,10509,3310,9750,9339,7098,35892,3390,11776,13572,17216,21958,17988,10647,28923,17511,33882,32184,11853,37203,27332,22253,20581,25995,175826,55348,25340,25585,32045,32049,33577,25240,13491,32495,7423,8449,21161,7137,4063,3407,14069,10222,14154,33820,10111,15136,9244,24697,25062,30294,51521,40771,29620,29561,75184,27174,37286,40439,24578,76618,22630,17541,14846,28765,13946,38513,22279,8624,16864,44071,24088,26998,28622,14069,12127,5106,5372,8710,11051,11470,13550,19326,31411,28819,14834,13598,13958,13296,12936,12151,9855,,,,,,,,,,,
2023-11-25,3709,9850,28326,45617,17455,11216,8075,3617,2452,8665,1640,3366,9284,6711,11426,5475,7351,4188,8282,3315,7060,6362,2471,28252,3337,11133,9781,13530,16435,13987,8565,27924,15124,25941,27611,4933,28933,21104,15934,16783,11341,161483,57427,20263,17905,33114,30248,32678,20441,9097,21989,6791,5688,17007,7484,3609,2275,9266,8279,12248,34406,6924,11999,7161,18735,16454,28938,58800,30903,23585,30768,80619,16620,33032,34358,22198,68173,16010,14361,10459,22803,10226,36408,15001,11572,14219,22298,18933,15382,20803,8258,9953,3584,2530,8094,7786,10250,12146,14436,20471,25372,10784,9575,10658,9801,10226,8373,7522,,,,,,,,,,,
2023-11-26,3556,7335,20835,33875,13108,8329,6712,2969,2280,7754,1343,2670,7207,5520,10120,4161,5572,3547,6904,2459,4819,5514,2282,20100,3113,8680,8281,11023,13395,12102,7518,22819,12174,19885,22089,3671,24174,16760,12961,13551,8699,140159,44463,14139,15826,23583,23858,27476,17202,7068,18555,5300,4703,14851,6523,3100,1505,7846,6921,10335,29119,6163,9170,5394,14872,12497,21359,43288,24881,19001,25525,63498,13496,26172,23518,15894,52920,13459,12055,7138,17135,7508,29198,10668,9184,11073,16254,10741,12014,16602,7338,7596,2783,2170,6058,6077,7926,9135,11493,15687,20052,8308,7471,8560,8151,8236,6962,5878,,,,,,,,,,,
2023-11-27,5031,13740,43693,38074,25554,13953,10703,4002,3330,13276,2114,4809,6106,9675,10508,16474,18424,5957,9488,3370,9033,8730,6789,30691,3131,11132,12972,16071,20284,16956,9581,26595,15053,30816,25725,11671,34660,25473,21105,19618,24298,126650,41287,22286,23537,25315,27717,30289,22710,13085,31811,6791,8224,19256,5504,3939,3534,14036,9800,13937,32558,9343,13525,8675,23303,24206,25970,42389,37930,27815,28046,59464,23954,32360,31429,19762,60845,19883,16208,14215,21922,13458,29652,19193,7715,14432,39120,22035,24765,25488,14661,11200,4762,5113,8192,10597,9978,12194,16994,29759,23958,14038,12658,12682,12511,12098,11485,9142,,,,,,,,,,,
2023-11-28,5032,14325,44996,40210,26914,14581,11119,4082,3386,13249,2208,4927,7063,10042,11677,17313,18995,6049,9896,3499,9189,9090,6843,28165,3249,11356,13143,16554,21143,17703,10032,27877,15900,32305,29613,12035,35768,26937,22098,20393,25500,127885,43847,23064,24662,27051,29304,35206,24132,13375,31623,6973,8434,20077,6180,4032,3530,14415,9908,14140,32846,9493,13818,8659,23768,25365,26837,42639,39546,28672,27338,61704,25984,33283,32981,21218,62583,21287,16290,14446,21936,14185,30144,19990,8237,15322,41287,22622,26009,26235,14880,11535,4975,5264,8379,10875,10227,12563,17607,29742,25779,14576,12901,12971,12947,12330,11805,9628,,,,,,,,,,,
2023-11-29,4722,14679,46344,40504,26800,14488,11420,3903,3436,13520,2184,4913,6798,9986,11456,17317,19380,5905,10012,3576,9409,9251,7018,29624,3374,11380,13523,16536,21180,17414,10266,27993,16170,32675,29262,11884,36127,26781,21938,20505,25857,128862,45779,23231,24563,27345,30310,35548,27794,13381,32405,7040,8456,20496,6225,4193,3488,14573,10245,14242,32880,9665,14133,8681,23806,25134,26737,43782,39427,29102,27779,61754,26437,34008,34133,22209,64552,21279,16629,14508,22582,13686,30507,20415,8183,15346,41459,23317,26166,26730,14213,12661,4930,5288,8423,11054,10397,12912,17611,30427,25437,14733,12937,13356,13137,12573,12098,9628,,,,,,,,,,,
2023-11-30,5026,15278,47355,42422,27330,15824,11734,4317,3465,13887,2193,4764,5632,9964,11822,17746,19742,6287,10366,3357,9682,9360,7595,39005,3554,11352,13469,16886,21177,17462,10391,28197,17051,34136,29532,12139,36468,27218,22231,20394,25813,137491,46202,22991,25273,26721,28542,31433,25806,13306,32187,7037,8544,19984,5994,4074,3505,14173,9885,13849,30759,9649,13923,8562,24001,25069,26846,43796,39846,29139,27473,62588,26677,35021,35504,23154,67763,22231,16855,15014,25783,12972,31912,21225,7771,15435,42662,23834,26881,26050,14422,11640,5072,5459,8300,11088,10576,13063,18536,30544,26948,14557,13170,13377,13451,12544,11790,9589,,,,,,,,,,,
